Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-12-21,"The Ginger Buttress (full)",5.10-,"With alex s - swing leads on this section. Rock actually starts off decent! Mocha pot is friable, but crack above is excellent. Once at offwidth and above, rock not so good. 9 hours car to car. Awesome summit & ginger cracks & blade runner are quite cool!",https://www.mountainproject.com/route/122000938/the-ginger-buttress-full,6,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Ginger Buttress",3.0,2,Lead,Onsight,Trad,,1700,2700
2024-12-21,"Ginger Cracks",5.9,"En route to full ginger buttress. With alex",https://www.mountainproject.com/route/105732260/ginger-cracks,5,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Ginger Buttress",3.2,3,TR,,Trad,,900,2400
2024-12-21,"Blade Runner (aka The Ginger Arête)","5.10b PG13","Led - full ginger buttress with Alex ",https://www.mountainproject.com/route/111287898/blade-runner-aka-the-ginger-arete,3,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Ginger Buttress",3.7,4,Lead,Onsight,Trad,,350,2900
2024-12-15,"Fight or Flight",5.12d,"working the moves. didn&#39;t have enough time to try a redpoint go. Really great route. Best I&#39;ve done in the gorge for sure. Excited to return",https://www.mountainproject.com/route/118725422/fight-or-flight,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",4.0,4,Lead,Fell/Hung,Sport,5.12d,100,7500
2024-12-15,"Aunti Vigilante",5.10b,"awful, don&#39;t do again",https://www.mountainproject.com/route/107154406/aunti-vigilante,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",2.1,1,Lead,Onsight,Sport,,70,2900
2024-12-15,Tickbait,5.11c,"meh bottom half, the upper headwall is excellent though! Good warmup for tower routes. Just leave belayer on ground unless you are going to whipping all over the place",https://www.mountainproject.com/route/126087454/tickbait,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",3.6,3,Lead,Onsight,Sport,,80,5200
2024-12-15,"Supersweet(Sweetie 2.0)",5.8,"best 5.9 in the gorge",https://www.mountainproject.com/route/125740635/supersweetsweetie-20,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",3.7,3,Lead,Onsight,Sport,,115,2100
2024-12-13,Wings,5.12c,"2nd go. The first part through the finger crack is fine. The step across the chasm is kinda weird.

But the top half is $$$$$$. Really, really awesome top half of the route. Good rock, awesome position, and really cool climbing.

4/5 stars
5/5 for the top bit though! I really, really liked it",https://www.mountainproject.com/route/125811412/wings,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",4.0,4,Lead,Redpoint,Sport,5.12c,110,7200
2024-12-13,Wings,5.12c,,https://www.mountainproject.com/route/125811412/wings,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",4.0,4,Lead,Fell/Hung,Sport,5.12c,110,7200
2024-12-13,"Love Me Easy",5.10b/c,"Ok climbing but choss",https://www.mountainproject.com/route/124100702/love-me-easy,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",3.3,1,Lead,Onsight,Sport,,110,3100
2024-12-13,"Slip 'n Slide",5.9,,https://www.mountainproject.com/route/105900092/slip-n-slide,1,"California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",3.6,2,Lead,Onsight,Sport,,115,2400
2024-12-11,"Go Granny Go  Right Finish (V5)",V5,"Had to switch beta late to get it done. Kept falling at top.

I heel hook, left hand sidepull, right hand to top of flake, turn left heel to toe and go to incut jug at top with left",https://www.mountainproject.com/route/106662650/go-granny-go-right-finish-v5,1,"California > Eastern Sierra > Bishop Area > Buttermilk Country > Buttermilks Main > Peabody Boulders > Grandma Peabody Boulder",3.0,3,Send,,Boulder,,10,20500
2024-12-07,"Go Granny Go",V5,"2 ways for this to go for me I think

1. Right hand great hold, left hand in hole part. Left foot on knob and go big, while keeping the right hand

2. High left heel? ",https://www.mountainproject.com/route/105879221/go-granny-go,1,"California > Eastern Sierra > Bishop Area > Buttermilk Country > Buttermilks Main > Peabody Boulders > Grandma Peabody Boulder",2.9,-1,Attempt,,Boulder,,15,20500
2024-12-01,"Early Exit",V5,"I thought this was really really fun. Powerful, lockoffs, techy balance. Actually not very sharp at all, very smooth. One of the better climbs at the milks. 4/5 stars",https://www.mountainproject.com/route/106916326/early-exit,1,"California > Eastern Sierra > Bishop Area > Buttermilk Country > Buttermilks Main > Upside Boulder",3.6,3,Send,,Boulder,V5,15,20500
2024-12-01,"Rail Problem",V3,"Kinda fun moves but awful rock",https://www.mountainproject.com/route/105936169/rail-problem,1,"California > Eastern Sierra > Bishop Area > Buttermilk Country > Buttermilks Main > Roadside Area > Roadside Boulder",2.5,2,Send,,Boulder,,,20300
2024-11-26,"Avance Cangrejo",5.12d,"4/5 stars

Cool dihedral. Just simply stunning crux moves. Then good pockets to a no hands, to one more slightly challenging boulder that is quite fun as well.

I tried it, worked it. Tried it, figured out the crux. Then my fingers reopened again and the day was over. 2 tries, but only went to the chains once. 

I had so much fun on the moves. I hope to return one day. 4/5",https://www.mountainproject.com/route/116563811/avance-cangrejo,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > Siuranella Este",3.6,3,Lead,Fell/Hung,Sport,,95,7500
2024-11-26,"Lo Deje to Blanco",5.11d,"3/5 * would be the best 10a on earth if not for the crux which is so much harder than the rest of the route ",https://www.mountainproject.com/route/112919449/lo-deje-to-blanco,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > Siuranella Este",3.3,2,Lead,Onsight,Sport,,98,5500
2024-11-23,"Peus de Moix",5.12b,"A truly incredible 7b.

5/5 stars. Not *quite* as good as a &#34;top&#34; 7b like Crucigrama, but really really good!",https://www.mountainproject.com/route/127359718/peus-de-moix,1,"International > Europe > Spain > Catalonia > Margalef > Can Dit Xic",4.0,4,Lead,Onsight,Sport,5.12b,70,6900
2024-11-23,"Sabore di mare",5.12a,"Fell at the crux. My tips were SO Painful. 3/5 pitches",https://www.mountainproject.com/route/127230140/sabore-di-mare,1,"International > Europe > Spain > Catalonia > Margalef > Can Dit Xic",3.3,3,Lead,Fell/Hung,Sport,,70,6600
2024-11-23,"Indian Holidays",5.11d,"Great warmup. 4/5 stars",https://www.mountainproject.com/route/122201852/indian-holidays,1,"International > Europe > Spain > Catalonia > Margalef > Can dit Gros",3.8,4,Lead,Onsight,Sport,,90,5500
2024-11-23,"Penélope Cruz",5.12d,"after indian holidays & peus de moix. The bottom 3 bolts is unbelievable climbing!!! - then ok climbing to another nice boulder problem off a jug near top then easy exit.

Start 
- r hand jug pocket, left hand slot.
- L hand up to DEEP 2f pocket, r foot up, r hand pocket. L cross to deep pocket.
- R foot into hueco like hole, right hand cross to pocket. L Hand come through to better L pocket
- up with left to deep undercling pocket. L Foot up to big hueco out left, r hand ou to slopey crimp, bump to jug. 
- bring L foot into closest pocket, L Hand up. 

Off jug
- L hand deep incut slot above jug
- R hand up to 3 finger crimp
- L Hand out to hole, pinch it! Sink body underneath.
- Right hand crimp
- L Hand to DEEP pocket just left of draw.

The start is 6/5 stars. Overall 4/5 stars.",https://www.mountainproject.com/route/119905087/penelope-cruz,1,"International > Europe > Spain > Catalonia > Margalef > Can dit Gros",3.5,3,Lead,Fell/Hung,Sport,,60,7500
2024-11-21,"El Cargolet",5.10b,"after mandragora. just because i love rock climbing and its all my fingers could handle.

Actually quite good! just short",https://www.mountainproject.com/route/117990072/el-cargolet,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Cargol",2.9,3,Lead,Redpoint,Sport,,45,2900
2024-11-21,Mandragora,5.12c,"Maybe not as hard, but I think better than Orange Juice. Longer, more sustained climbing throughout. More dramatic location. (not that orange juice isn&#39;t amazing!)

So grateful to send today. I had a hole in my index and middle finger on the right hand and tore a flapper on my left at the 4th clip. I stayed very composed and made it to the top. All glory to God.

It&#39;s been a bit of a battle this trip. I&#39;ve had HORRIBLE skin, and a flexor injury in my left hand. Its kept me from performing at my best, but I&#39;m grateful to get to be here and to do this world class rock climb. Thank You, God.

As amazing as it was, oddly a relief to do it. Its amazing - its just it draws big crowds and is challenging to get on",https://www.mountainproject.com/route/106624776/mandragora,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > Espero Primavera",3.9,4,Lead,Redpoint,Sport,5.12c,115,7200
2024-11-21,Mandragora,5.12c,"1 fall, 1 hang. First climb of the day",https://www.mountainproject.com/route/106624776/mandragora,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > Espero Primavera",3.9,4,Lead,Fell/Hung,Sport,5.12c,115,7200
2024-11-19,"5.12b sport",5.12b,"cruela de vil - can piqui pigui, 2nd try. Felt pretty tired. Sent all except for 1 section 3 bolts from top. These moves felt very challenging to me. I think it may be finger size dependent. I did well on the rest",https://www.mountainproject.com/route/112170129/512b-sport,1,"* In Progress > Generic Area",3.1,-1,Lead,Fell/Hung,Sport,,,6900
2024-11-19,"5.12b sport",5.12b,"cruela de vil - can piqui pigui",https://www.mountainproject.com/route/112170129/512b-sport,1,"* In Progress > Generic Area",3.1,-1,Lead,Fell/Hung,Sport,,,6900
2024-11-17,"Unnamed Route 46",5.11d,"SUPER fun. Only slight detractor is ramp start. Loved it 

Listed wrong here. This is 1 route right of Purolitic ",https://www.mountainproject.com/route/116540264/unnamed-route-46,1,"International > Europe > Spain > Catalonia > Montsant > Raco de Misa",3.8,4,Lead,Onsight,Sport,,80,5500
2024-11-17,Purolitic,5.11d,"Absolutely spectacular 5/5",https://www.mountainproject.com/route/111886262/purolitic,1,"International > Europe > Spain > Catalonia > Montsant > Raco de Misa",3.9,4,Lead,Onsight,Sport,,75,5500
2024-11-16,"Little Stalin",5.11d,"Fell at second to last draw. Just didn’t quite read it correctly and was pretty gassed to be honest

I though this was stellar! 4/5",https://www.mountainproject.com/route/123920108/little-stalin,1,"International > Europe > Spain > Catalonia > Margalef > Finestra Extension",3.5,4,Lead,Fell/Hung,Sport,,65,5500
2024-11-16,Tropicana,5.12b,"Fell at bolt 3. Then took 1x 

Ok - very greasy bottom.",https://www.mountainproject.com/route/119803447/tropicana,1,"International > Europe > Spain > Catalonia > Margalef > Raco de la Finestra",2.5,2,Lead,Fell/Hung,Sport,,65,6900
2024-11-16,"Calma Tensa",5.11c,"Great climbing! I really enjoyed the slabby bit",https://www.mountainproject.com/route/116535862/calma-tensa,1,"International > Europe > Spain > Catalonia > Margalef > Raco de la Finestra",3.0,3,Lead,Onsight,Sport,,95,5200
2024-11-16,Crucigrama,5.12b,"Absolutely stellar - to say the least",https://www.mountainproject.com/route/116535855/crucigrama,1,"International > Europe > Spain > Catalonia > Margalef > Raco de la Finestra",3.9,4,Lead,Redpoint,Sport,,80,6900
2024-11-16,Crucigrama,5.12b,"Warming up",https://www.mountainproject.com/route/116535855/crucigrama,1,"International > Europe > Spain > Catalonia > Margalef > Raco de la Finestra",3.9,4,Lead,Fell/Hung,Sport,,80,6900
2024-11-15,Gatzara,5.11a,"Fun :)",https://www.mountainproject.com/route/123078756/gatzara,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > L'Aparador",2.9,3,Lead,Onsight,Sport,,80,4600
2024-11-15,Bindelef,5.12a,"Very satisfying and fun route! 5 stars!",https://www.mountainproject.com/route/112569120/bindelef,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > Can Codola",3.7,4,Lead,Redpoint,Sport,,115,6600
2024-11-15,Bindelef,5.12a,"1 fall, tried to hand-foot match - needed to be a hand heel!",https://www.mountainproject.com/route/112569120/bindelef,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > Can Codola",3.7,4,Lead,Fell/Hung,Sport,,115,6600
2024-11-14,"Toca-me-la Sam",5.11c,"Smooth this time around",https://www.mountainproject.com/route/106625595/toca-me-la-sam,1,"International > Europe > Spain > Catalonia > Siurana > Village Crags > Campi Qui Pugui",3.3,3,Lead,Redpoint,Sport,5.11c,70,5200
2024-11-14,Siouxie,5.13a,"I got humbled. Hardest pitch for me, I&#39;ve tried at this time.

More importantly, it was simply amazing climbing!!!!!!! I WANT TO TRY AGAIN. I may fail, but I want to climb on this route. Top route - one of the best I&#39;ve tried",https://www.mountainproject.com/route/106625585/siouxie,1,"International > Europe > Spain > Catalonia > Siurana > Village Crags > Campi Qui Pugui",4.0,4,Lead,Fell/Hung,Sport,5.13a,70,8600
2024-11-14,"Toca-me-la Sam",5.11c,"1 fall - warmup.

Didn&#39;t figure it out first time",https://www.mountainproject.com/route/106625595/toca-me-la-sam,1,"International > Europe > Spain > Catalonia > Siurana > Village Crags > Campi Qui Pugui",3.3,3,Lead,Fell/Hung,Sport,5.11c,70,5200
2024-11-14,Delicatessan,5.12a,"Saw Mitchell climb it twice, new wear the good holds were

Not very visually inspiring but climbs very well. Great rock!",https://www.mountainproject.com/route/106624833/delicatessan,1,"International > Europe > Spain > Catalonia > Siurana > Village Crags > Campi Qui Pugui",3.5,3,Lead,Flash,Sport,5.12a,80,6600
2024-11-12,"El prado del rey",5.12c,"falls - still jet-lagged & exhausted from the travel. Had fun on this great climb though! 4/5 stars. Awesome, but not quite demon seed/ghostrider/orange juice level though.

At bulge: Left hand jug, right hand to first sidepull that is quite good! Left foot comes through and flag - lots of black rubber, v-slot shape. Left hand up to ok crimp, bump to left Jug slot. - not hard, just a lot of options :)

Crux - the money beta: Left hand good hold, right hand epic jug sidepull. Right foot up to small edge, left foot up to good foot, right foot up high to BLACK foot. Get that foot set! Hips in tight, right hand to small crimp, bump right hand again to great jug!

Excellent beta from Liane!

Only other thing to note: Above the crux, before the next draw, use the small left sidepull crimp to get feet up and established, to make reach for ticked jug.",https://www.mountainproject.com/route/107967162/el-prado-del-rey,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Pati",3.7,4,Lead,Fell/Hung,Sport,,,7200
2024-11-12,"El prado del rey",5.12c,sussing,https://www.mountainproject.com/route/107967162/el-prado-del-rey,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Pati",3.7,4,Lead,Fell/Hung,Sport,,,7200
2024-11-12,Viagraman,5.11c,,https://www.mountainproject.com/route/108762315/viagraman,1,"International > Europe > Spain > Catalonia > Siurana > Valley Crags > El Pati",3.5,3,Lead,Flash,Sport,,100,5200
2024-11-02,"Breakfast Burrito",5.10c/d,"World class",https://www.mountainproject.com/route/106081922/breakfast-burrito,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Drive-By Crag",3.7,4,Lead,Redpoint,Sport,5.10d,80,3400
2024-11-02,"Hakuna Matata",5.12a,"This is truly stellar climbing! 5/5 stars. I do agree with the comment about the bolting however, the placements didn’t make a lick of sense in the top half. 

I actually had to REALLY dig deep to onsight this one. Maybe the hardest I’ve tried and still sent… that’s cool! ",https://www.mountainproject.com/route/107329629/hakuna-matata,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Drive-By Crag",3.7,4,Lead,Onsight,Sport,,80,6600
2024-11-02,"Demon Seed",5.12c,"Well - I think between this and Ghostrider in Kalymnos, I’ve climbed the 2 best 12c’s on earth this year. 

Wow. Simply wow. This thing is absurdly good. I’m so grateful 

Still gotta send Ghostrider! ",https://www.mountainproject.com/route/109253387/demon-seed,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Bob Marley",3.9,4,Lead,Redpoint,Sport,5.12c,100,7200
2024-11-02,"Demon Seed",5.12c,"Actually used strategy lol. Bolt to bolted and got the draws up",https://www.mountainproject.com/route/109253387/demon-seed,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Bob Marley",3.9,4,Lead,Fell/Hung,Sport,5.12c,100,7200
2024-11-01,"Brambly Downslide",5.10a,,https://www.mountainproject.com/route/107080668/brambly-downslide,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Solar Collector/Gold Coast",2.9,3,Lead,Redpoint,Sport,,75,2600
2024-11-01,"Sunny the Boxer",5.9,"Ashley put it up for me!",https://www.mountainproject.com/route/108165689/sunny-the-boxer,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Solar Collector/Gold Coast",2.9,3,TR,,Sport,,85,2400
2024-11-01,"The Decline of Western Civilization",5.10a,,https://www.mountainproject.com/route/107878537/the-decline-of-western-civilization,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Solar Collector/Gold Coast",2.4,2,Lead,Redpoint,Sport,,50,2600
2024-11-01,"Super Pinch",5.10d,"Nice climb - good first route of the day, but FAR to easy to “warm up” on. Gotta be supafly, Buddha hole or ethics police to warm up on",https://www.mountainproject.com/route/106588480/super-pinch,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Solar Collector/Gold Coast",2.7,3,Lead,Onsight,Sport,,50,3500
2024-11-01,"The Force",5.13a,"First go - going to anchors; wasn’t warmed up

2nd - complete flow up through crux then picked foot 4x trying to clip bolt 4. Clipped and fell.

I HAVE to get pumped to get warmed up. It’s counterintuitive but true. I should get really pumped -> climb first 4 bolts -> lower -> redpoint next time :)

This climb will carry me through the winter. It’s good I didn’t send",https://www.mountainproject.com/route/106584648/the-force,2,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",3.9,4,Lead,Fell/Hung,Sport,5.13a,75,8600
2024-10-31,"Snake Charmer",5.11a,"Great edges :)",https://www.mountainproject.com/route/112798114/snake-charmer,1,"Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > Bird Cage Sector",2.9,3,Lead,Onsight,Sport,,65,4600
2024-10-31,"Romance Explosion",5.11b,"Cool! 4/5",https://www.mountainproject.com/route/112798104/romance-explosion,1,"Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > Bird Cage Sector",3.7,3,Lead,Onsight,Sport,,90,4900
2024-10-31,"Botanical Gardens",5.10a,"Awesome! Crux, 5.9 forever, crux at last bolt :)

4/5 stars",https://www.mountainproject.com/route/111219181/botanical-gardens,1,"Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > Bird Cage Sector",3.5,3,Lead,Onsight,Sport,,95,2600
2024-10-27,"Eye of the Needle",5.11b,exceptional,https://www.mountainproject.com/route/106282978/eye-of-the-needle,1,"Kentucky > Red River Gorge > Northern Gorge > Funk Rock City",3.7,4,Lead,Flash,Sport,,85,4900
2024-10-27,"Manic Impression",5.10a,"Quite awesome!

Ashley’s first 10a lead!",https://www.mountainproject.com/route/105866451/manic-impression,1,"Kentucky > Red River Gorge > Northern Gorge > Funk Rock City",3.2,3,Lead,Onsight,Sport,,95,2600
2024-10-27,"Orange Juice",5.12c,"This is an amazing climb!

Boulder, easy but fun climbing, crux boulder at bolt 7 (described below), one more crux after amazing horizontal shake. Going to anchors looks intimidating but the crimps on the slab are positive

Just too smoked today. 

First boulder: use the small, pebbly crimp for the right hand + a high left foot to reach the left hand sidepull. Not hard this way at all :) the pocket out to the right is not any good - slopey and in a bad position

At crux - where there’s tons of chalk - get two hands on crimps, high right foot with right hip in directly underneath two crimps, make a big lunge to a great hold. 

KEY: Get on, in either frigid temps OR while top is still in the shade for the crux. (Goes into sun around noon in late October)",https://www.mountainproject.com/route/106599268/orange-juice,1,"Kentucky > Red River Gorge > Northern Gorge > Funk Rock City",3.9,4,Lead,Fell/Hung,Sport,,90,7200
2024-10-26,8133,5.11d,"SO FUN. Did the direct boulder problem start. Really cool boulder and certainly NOT v4",https://www.mountainproject.com/route/110969237/8133,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > The Portal",3.5,4,Lead,Onsight,Sport,,70,5500
2024-10-26,"She's a Witch",5.10a,"Good climb",https://www.mountainproject.com/route/114530413/shes-a-witch,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Camelot",3.0,3,Lead,Onsight,Sport,,50,2600
2024-10-26,"Holy Grail",5.10d,"Way overrated and very very very easy for the grade",https://www.mountainproject.com/route/114530429/holy-grail,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Camelot",3.4,2,Lead,Onsight,Sport,5.10-,70,3500
2024-10-26,"European Swallow",5.8,,https://www.mountainproject.com/route/114530433/european-swallow,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Camelot",1.9,0,Lead,Onsight,Sport,,25,2100
2024-10-26,"Fatal Vision",5.11c,"5 star climb, very poor bolting - last 3 bolts need to be much closer to the arete",https://www.mountainproject.com/route/112279994/fatal-vision,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Alcatraz",3.8,4,Lead,Onsight,Sport,,85,5200
2024-10-24,Dogleg,5.12a,"Uh-mazing 5* for sure. Crazy cool",https://www.mountainproject.com/route/106290553/dogleg,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Bob Marley",3.7,4,Lead,Onsight,Sport,,90,6600
2024-10-24,"Demon Seed",5.12c,"1 fall :( past all the cruxes REALLY fought. Would have sent but I got my left and right hand crossed just below the second to last bolt.

Can get absolutely EVERYTHING back at the perma. Sidepull with the left on a lightly chalked hold (best body position). Sink completely into the best right hand.

I should’ve sent this second try with awful skin and after working the force yesterday. I’ve come a long way. 

This is one of the best routes I’ve ever done",https://www.mountainproject.com/route/109253387/demon-seed,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Bob Marley",3.9,4,Lead,Fell/Hung,Sport,5.12c,100,7200
2024-10-24,"Demon Seed",5.12c,"Onsight attempt. Horrible skin. Tired

1 fall, 1 take",https://www.mountainproject.com/route/109253387/demon-seed,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Bob Marley",3.9,4,Lead,Fell/Hung,Sport,5.12c,100,7200
2024-10-24,Toker,5.11a,Cooldown,https://www.mountainproject.com/route/106427242/toker,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Bob Marley",3.6,4,Lead,Onsight,Sport,,70,4600
2024-10-23,Younglings,5.10b,,https://www.mountainproject.com/route/118912562/younglings,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",2.3,2,TR,,Sport,,40,2900
2024-10-23,Younglings,5.10b,,https://www.mountainproject.com/route/118912562/younglings,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",2.3,2,Lead,Redpoint,Sport,,40,2900
2024-10-23,"The Force",5.13a,"Time for a break. Sent through the crux again. Skin is too bad, and its too humid",https://www.mountainproject.com/route/106584648/the-force,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",3.9,4,Lead,Fell/Hung,Sport,5.13a,75,8600
2024-10-20,"Small Fry",5.9,,https://www.mountainproject.com/route/106962365/small-fry,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",2.2,2,,,Sport,,40,2400
2024-10-20,"The Force",5.13a,"Couldn’t be closer! Fell going to the tooth. Gushing from 3 fingers and humid. I got this",https://www.mountainproject.com/route/106584648/the-force,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",3.9,4,Lead,Fell/Hung,Sport,5.13a,75,8600
2024-10-20,Younglings,5.10b,,https://www.mountainproject.com/route/118912562/younglings,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",2.3,2,Lead,Onsight,Sport,,40,2900
2024-10-20,Padawan,5.10a,,https://www.mountainproject.com/route/106324468/padawan,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Dark Side",2.5,2,Lead,Onsight,Sport,,40,2600
2024-10-20,"Green Horn",5.11a,"Nice climb, bad warmup! Crux is early and harder than other 11as",https://www.mountainproject.com/route/106707062/green-horn,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Solar Collector/Gold Coast",2.8,3,Lead,Onsight,Sport,,55,4600
2024-10-20,Supafly,5.12a,"Very very good, not quite “all-time” ",https://www.mountainproject.com/route/106324559/supafly,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Solar Collector/Gold Coast",3.5,4,Lead,Onsight,Sport,,80,6600
